sku,product_name,regular_price,stock_quantity,stock_status,product_type,product_status,product_categories,tags,weight,length_mm,width_mm,height_mm,_acf_power_watts,_acf_cc_cv_type,_acf_dimming_type,_acf_output_current_ma,_acf_ip_protection,_acf_series_type,_acf_manufacturer_brand,_acf_manufacturer_part_number,_acf_dimensions_length_mm,_acf_dimensions_width_mm,_acf_dimensions_height_mm,_acf_dimension_category,_acf_input_voltage
1222150600,LED Converter ELG-150-24DA DALI dimmbar IP67,64.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,219,63,35.5,,,dali,,IP67,other,Simpex,ELG-150-24DA-3Y,219,63,35.5,medium,220_240v_ac
1222200200,LED Converter LC 200W 24V one4all NF SC EXC2,105.0,31,instock,simple,publish,LED Treiber,CONVERTER V,,325,43,30.2,200,cv,one4all,,,lc,Tridonic,28004433 Open | 28004438 SP,325,43,30.2,large,220_240v_ac
1222200600,LED Converter ELG-200-24DA DALI dimmbar IP67,69.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,244,71,37.5,,,dali,,IP67,other,Simpex,ELG-200-24DA-3WUSI,244,71,37.5,medium,220_240v_ac
1222200601,LED Converter PWM-200-24DA DALI2 | TOUCHDIM | IP67,96.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,195,68,39.5,,,dali|touchdim,,IP67,other,Simpex,PWM-200-24DA2,195,68,39.5,medium,220_240v_ac
1222200602,LED Converter 200W 24VDC | DALI-2 | TOUCHDIM | IP66,384.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V LUCE & LIGHT,,232,78,25.1,200,cv,dali|touchdim,,IP66,other,K00421,AV0D024V20066,232,78,25.1,medium,220_240v_ac
1222240600,LED Converter ELG-240-24DA DALI dimmbar IP67,66.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,244,71,37.5,,,dali,,IP67,other,Simpex,ELG-240-24DA-3Y,244,71,37.5,medium,220_240v_ac
1222240601,LED Converter 240W 24V PWM DALI | TOUCHDIM | IP67,140.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V ALLEGRA SWISS ISOLED,,385,30,21,240,cv,dali|touchdim,,IP67,other,K00043,114944,385,30,21,large,220_240v_ac
1222250200,LED Converter 250W 24V DALI | TOUCHDIM,80.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V KGP,,400,40,22,250,cv,dali|touchdim,,,other,K00738,LV250W24CG2 DALI,400,40,22,large,220_240v_ac
1224035200,LED Converter LC 35W 48V one4all NF SC EXC SP,75.0,3,instock,simple,publish,LED Treiber,CONVERTER V LC 35W 48V ONE4ALL NF SC EXC SP,,195,43,29.8,35,cv,one4all,,,lc,Tridonic,28003840,195,43,29.8,medium,220_240v_ac
1224100200,LED Converter LC 100W 48V one4all NF SC EXC,74.0,5,instock,simple,publish,LED Treiber,CONVERTER V,,225,43,30,100,cv,one4all,,,lc,Tridonic,28003535,225,43,30,medium,220_240v_ac
